HI,PGA,Vmax/amax,ASI,TSIGN,TBRAC,PP,CAV,SED,TUD,EPA,PGV,PGD,Ia,Htot,ecc_tot,Vw1,Vw2,class_3
174.89881,0.42998,0.14113,0.29828,8.29606,11.76551,0.20785,785.54681,4989.55640,3.82740,0.29616,59.52950,33.12033,1.11356,9.60000,4.65000,0.52000,0.46000,C
189.26183,0.43778,0.18088,0.40295,7.46001,11.38311,0.23324,961.84383,8687.36607,5.16181,0.39975,77.68455,44.72201,1.65471,9.60000,4.65000,0.52000,0.46000,C
196.99495,0.39222,0.21347,0.28375,10.58667,11.79993,0.07746,996.87820,7247.76518,5.67488,0.28439,82.13905,43.97901,1.60241,9.60000,4.65000,0.52000,0.46000,C
23.36388,0.25107,0.04652,0.20124,3.08727,1.78059,0.26833,183.88204,39.42342,0.66645,0.19884,11.45807,0.84919,0.17847,9.60000,4.65000,0.52000,0.46000,B
143.41546,0.30391,0.15066,0.23337,17.78367,17.44298,0.31812,882.93392,2651.05629,4.46360,0.23216,44.91805,18.90485,0.84282,9.60000,4.65000,0.52000,0.46000,C
103.75376,0.19884,0.14020,0.21175,17.96602,21.21437,0.24739,1010.06525,2377.47394,6.33191,0.21011,27.34765,15.81769,0.96861,9.60000,4.65000,0.52000,0.46000,B
68.04170,0.27918,0.06489,0.22260,14.30854,13.46066,0.21909,732.61930,487.70115,3.96085,0.22266,17.77163,3.81008,0.69162,9.60000,4.65000,0.52000,0.46000,B
113.34270,0.38092,0.08905,0.37023,9.06208,11.58757,0.27713,1037.34587,1904.84573,5.50291,0.36474,33.27574,18.33504,1.67123,9.60000,4.65000,0.52000,0.46000,C
72.13352,0.20364,0.11115,0.20597,12.55086,11.02687,0.51846,635.63557,408.47300,2.85612,0.20637,22.20628,4.05996,0.60368,9.60000,4.65000,0.52000,0.46000,C
34.69682,0.10302,0.12855,0.08556,18.66689,0.90507,0.24819,304.31962,440.05088,0.27157,0.08422,12.99187,9.37782,0.10914,9.60000,2.23000,0.47000,0.00000,A
112.31037,0.27556,0.10762,0.21103,20.29793,23.67931,0.40150,1097.23440,1376.04044,6.44857,0.21040,29.09237,9.60392,1.15625,9.60000,2.23000,0.47000,0.00000,C
54.36072,0.05061,0.25662,0.03496,44.63999,0.00000,1.09836,650.61521,786.00185,0.00000,0.03481,12.74285,11.32263,0.16481,9.60000,2.23000,0.47000,0.00000,A
49.97794,0.04931,0.24211,0.04257,27.66725,0.00000,1.03692,436.01942,518.85313,0.00000,0.04197,11.71184,5.70295,0.11592,9.60000,2.23000,0.47000,0.00000,A
145.98159,0.20528,0.17819,0.16116,14.28378,16.20496,0.96125,821.97453,3157.48763,5.02018,0.16156,35.88232,19.61064,0.89886,9.60000,2.23000,0.47000,0.00000,C
29.91640,0.15972,0.05050,0.10639,8.23509,7.99769,0.10000,277.86198,59.04376,1.27738,0.10839,7.91314,1.28218,0.18785,9.60000,2.23000,0.47000,0.00000,A
27.85728,0.26871,0.03566,0.23284,10.53743,11.27550,0.23664,722.69088,132.88092,4.47587,0.23306,9.39891,1.86733,0.84426,9.60000,2.23000,0.47000,0.00000,A
110.78149,0.45616,0.08133,0.40191,10.01988,12.45782,0.15875,831.39403,764.88044,4.76179,0.40003,36.39821,6.33311,1.32685,9.60000,2.23000,0.47000,0.00000,C
15.24905,0.13662,0.03703,0.08393,7.33519,4.52848,0.12961,216.90533,20.37276,0.71737,0.08564,4.96283,0.53230,0.12426,9.60000,2.23000,0.47000,0.00000,A
171.07604,0.43851,0.10158,0.40813,5.94992,9.95864,0.36932,874.69463,1650.49142,4.98193,0.40637,43.70052,10.77839,1.92271,9.60000,2.23000,0.47000,0.00000,C
317.60410,0.69109,0.14654,0.55702,6.04463,13.83999,0.33941,1264.07976,6512.50872,6.16221,0.55557,99.34613,23.10807,3.56405,9.60000,2.23000,0.47000,0.00000,C
130.10269,0.34934,0.08760,0.28057,15.88588,20.37613,0.26533,1009.39354,1639.05334,6.27982,0.27799,30.02163,7.34684,1.43266,9.60000,2.23000,0.47000,0.00000,C
67.26638,0.43803,0.05974,0.39205,5.93784,9.17052,0.35327,709.15639,307.81957,3.18735,0.38990,25.67144,2.99614,1.28588,9.60000,2.23000,0.47000,0.00000,C
220.31344,0.54396,0.12536,0.39655,13.51165,20.71783,0.63969,1457.18551,3457.56627,8.29364,0.39843,66.89705,25.80170,3.58806,9.60000,2.23000,0.47000,0.00000,C
112.38254,0.22305,0.25620,0.18315,18.30669,23.07101,0.29394,865.88772,6786.72899,5.55727,0.18248,56.05731,54.32680,0.88861,9.60000,2.23000,0.47000,0.00000,B
179.58155,0.53679,0.10360,0.45339,25.14849,39.85345,0.20000,2636.93755,3304.13897,17.68134,0.44850,54.55861,12.57305,5.41303,9.60000,2.23000,0.47000,0.00000,C
99.56799,0.16289,0.29258,0.13796,23.19993,20.09518,0.46989,923.74039,7632.39002,4.70244,0.13739,46.75542,60.18589,0.63386,9.60000,2.23000,0.47000,0.00000,B
285.20460,0.74419,0.10181,0.62994,7.10447,40.24801,0.28000,1957.37523,5506.86313,8.81724,0.62356,74.33132,18.38296,5.59181,9.60000,2.23000,0.47000,0.00000,C
208.42167,0.37412,0.22976,0.28084,26.71102,38.52730,0.37947,1896.28732,16762.84381,13.22916,0.28119,84.32560,51.13930,2.60666,9.60000,2.23000,0.47000,0.00000,C
91.75700,0.13393,0.30799,0.13070,26.34994,22.80259,0.34293,1066.65696,7850.06756,5.93460,0.12930,40.46481,52.09025,0.76399,9.60000,2.23000,0.47000,0.00000,B
105.32350,0.15149,0.33567,0.14514,26.48590,28.97183,0.32619,1165.50569,8438.17068,7.28807,0.14412,49.88402,51.84595,0.95895,9.60000,2.23000,0.47000,0.00000,B
269.29525,0.50950,0.13359,0.33520,8.05248,13.13505,0.30984,775.24228,5216.98052,4.16536,0.33245,66.77520,22.55432,1.56664,9.60000,2.23000,0.47000,0.00000,C
136.47045,0.35803,0.09609,0.35828,9.44543,14.81670,0.28284,712.22596,999.18247,3.91343,0.35352,33.75048,7.84633,1.14479,9.60000,2.23000,0.47000,0.00000,C
128.47520,0.44343,0.09538,0.43393,7.15500,12.70841,0.20976,833.58120,1232.85155,4.76660,0.43146,41.49009,12.62943,1.64839,9.60000,2.23000,0.47000,0.00000,C
148.35225,0.50732,0.06173,0.45665,10.98607,17.20106,0.42988,1325.10317,1720.05694,8.83162,0.45172,30.72320,6.38327,3.03696,9.60000,2.23000,0.47000,0.00000,C
248.37242,0.68538,0.11484,0.63340,5.84068,16.41550,0.42988,1484.40482,4522.44865,6.66735,0.62613,77.21184,23.71003,4.79726,9.60000,2.23000,0.47000,0.00000,C
242.34371,0.82205,0.09894,0.62714,8.08985,17.27538,0.23238,1604.65069,4263.72465,8.15941,0.62173,79.78784,17.30052,5.48211,9.60000,2.23000,0.47000,0.00000,C
160.51687,0.73254,0.05592,0.54807,6.24906,14.52994,0.36986,1306.13238,1811.45212,6.54455,0.54552,40.18309,5.05789,3.81022,9.60000,2.23000,0.47000,0.00000,C
254.32127,0.71828,0.08817,0.42423,6.64078,16.59991,0.23238,1333.00052,5216.94522,7.23250,0.42843,62.13001,35.93498,4.24370,9.60000,2.23000,0.47000,0.00000,C
14.53053,0.04955,0.06697,0.04328,46.59225,0.00000,0.22978,364.74050,56.84247,0.00000,0.04260,3.25488,6.17389,0.06240,9.60000,2.23000,0.47000,0.00000,A
60.19192,0.17817,0.09270,0.15736,9.64082,9.20894,0.36986,379.93616,254.72918,1.59772,0.15655,16.20180,4.49442,0.28602,9.60000,2.23000,0.47000,0.00000,C
